keys,en,de
credits,"© Koveras, Pytunia, Rinma, WiiPlayer2","© Koveras, Pytunia, Rinma, WiiPlayer2"
new_game,New Game,Neues Spiel
continue,Continue,Fortfahren
settings,Game Settings,Einstellungen
leave_game,Leave game,Spiel verlassen
return_to_main,Return to main menu,Zum Hauptmenü
return_to_menu,Back to menu,Zurück
settings_volume_master_enabled,Master Enabled,Lautstärke an
settings_volume_master,Master Volume,Lautstärke (Allgemein)
settings_volume_music_enabled,Music enabled,Musik an
settings_volume_music,Music Volume,Musik Lautstärke
settings_volume_sound_enabled,Sound enabled,Sound an
settings_volume_sound,Sound Volume,Sound Lautstärke
settings_language,Game Language,Spielsprache
game_paused,Game paused,Spiel pausiert
resume_game,Resume game,Weiterspielen
game_over,That's a wrap!,Das war's!
your_score,Your score:,Deine Punkte:
tutorial,"										
									Can [b]YOU[/b] please the crowd?


	Throw out jokes but be aware that not every joke is for everyone.
	Can you please everyone before you run out of breath?


	Use these buttons on your controller
	or press A, S, or D on your keyboard
	to tell a joke","										
									Kannst [b]DU[/b] die Menge zufriedenstellen??


  Hau Witze raus, aber bedenke, dass nicht jeder Witz für jeden ist.
  Kannst du alle zufriedenstellen, bevor dir die Puste ausgeht?


  Nutze diese Tasten auf deinem Controller
  oder A, S oder D auf deiner Tastatur,  um
  einen Witz zu erzählen"
tutorial_button,I'm ready for the show!,Ich bin für die Show bereit!
